subject	object
Sample:0408-FW021.46.11.27.12	Subsample:0408-FW021.46.11.27.12.02
Sample:0408-FW021.46.11.27.12	Experiment:100~Well
Sample:0408-FW021.46.11.27.12	Subsample:0408-FW021.46.11.27.12.10
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_phylum_2
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_class_2
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_order_2
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_family_2
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_genus_4
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_species_3
Subsample:0408-FW021.46.11.27.12.02	Sample_Taxon_Cluster:100~Well:02~Micron~Filter_esv_11
Subsample:0408-FW021.46.11.27.12.02	Sample_FPT_Cluster:All~Samples_3
Subsample:0408-FW021.46.11.27.12.02	Sample_FPT_Cluster:100~Well:02~Micron~Filter_1
Subsample:0408-FW021.46.11.27.12.02	Sample_PC2_Cluster:All~Samples_167
Subsample:0408-FW021.46.11.27.12.02	Sample_PC2_Cluster:100~Well:02~Micron~Filter_20
Subsample:0408-FW021.46.11.27.12.02	Sample_Meas_Cluster:100~Well_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_phylum_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_phylum_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_phylum_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_phylum_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_phylum_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_phylum_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_phylum_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_class_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_class_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_class_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_class_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_order_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_order_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_order_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_order_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_family_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_family_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_family_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_family_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_family_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_family_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Pilot~Project:Groundwater~Activity_family_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_genus_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_genus_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_genus_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_genus_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:01~Micron~Filter_genus_4
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:01~Micron~Filter_genus_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:01~Micron~Filter_genus_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:01~Micron~Filter_genus_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_species_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_species_4
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_species_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_species_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:10~Micron~Filter_species_1
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:02~Micron~Filter_species_3
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:02~Micron~Filter_species_2
Subsample:0408-FW021.46.11.27.12.02	Exp1_Exp2_Cluster:100~Well:02~Micron~Filter_Spring~Sampling:02~Micron~Filter_species_1
Subsample:0408-FW021.46.11.27.12.02	Exp2_Exp1_Cluster:100~Well:10~Micron~Filter_100~Well:02~Micron~Filter_esv_2
Experiment:100~Well	Sample:0408-FW021.7.26.12
Experiment:100~Well	Sample:0408-FW106.7.25.12
Experiment:100~Well	Sample:0408-FW233.2.17.99.11.28.12
Experiment:100~Well	Sample:0408-FW303.11.10.23.12
Experiment:100~Well	Sample:0408-FW303.11.2.20.13
Experiment:100~Well	Sample:0408-FW410.28.46.11.13.12
Experiment:100~Well	Sample:0408-FW510.26.11.26.12
Experiment:100~Well	Sample:0408-FW602.2.26.2.11.28.12
Experiment:100~Well	Sample:0408-GW056.87.1.8.13
Experiment:100~Well	Sample:0408-GW057.10.1.8.13
Experiment:100~Well	Sample:0408-GW086.25.12.3.12
Experiment:100~Well	Sample:0408-GW101.11.13.12
Experiment:100~Well	Sample:0408-GW101.7.25.12
Experiment:100~Well	Sample:0408-GW115.2.11.26.12
Experiment:100~Well	Sample:0408-GW127.16.11.26.12
Experiment:100~Well	Sample:0408-GW148.12.17.12
Experiment:100~Well	Sample:0408-GW151.12.12.12
Experiment:100~Well	Sample:0408-GW162.37.2.19.13
Experiment:100~Well	Sample:0408-GW190.22.12.11.12
Experiment:100~Well	Sample:0408-GW198.41.2.11.13
Experiment:100~Well	Sample:0408-GW199.42.1.28.13
Experiment:100~Well	Sample:0408-GW223.39.1.8.13
Experiment:100~Well	Sample:0408-GW228.12.2.4.13
Experiment:100~Well	Sample:0408-GW246.1.11.26.12
Experiment:100~Well	Sample:0408-GW247.7.11.14.12
Experiment:100~Well	Sample:0408-GW283.43.1.29.13
Experiment:100~Well	Sample:0408-GW314.97.2.19.13
Experiment:100~Well	Sample:0408-GW346.47.11.27.12
Experiment:100~Well	Sample:0408-GW526.15.11.17.12
Experiment:100~Well	Sample:0408-GW621.21.12.17.12
Experiment:100~Well	Sample:0408-GW631.98.12.11.12
Experiment:100~Well	Sample:0408-GW636.32.1.28.13
Experiment:100~Well	Sample:0408-GW641.30.1.23.13
Experiment:100~Well	Sample:0408-GW654.0.1.7.13
Experiment:100~Well	Sample:0408-GW685.6.1.8.13
Experiment:100~Well	Sample:0408-GW694.33.12.3.12
Experiment:100~Well	Sample:0408-GW704.5.12.17.12
Experiment:100~Well	Sample:0408-GW705.9.2.21.13
Experiment:100~Well	Sample:0408-GW706.96.12.17.12
Experiment:100~Well	Sample:0408-GW714.34.2.12.13
Experiment:100~Well	Sample:0408-GW736.14.12.3.12
Experiment:100~Well	Sample:0408-GW754.40.1.7.13
Experiment:100~Well	Sample:0408-GW760.18.1.29.13
Experiment:100~Well	Sample:0408-GW761.29.1.28.13
Experiment:100~Well	Sample:0408-GW763.23.1.22.13
